attempt,futureRevenueCagr,normalizedOperatingMargin,capexAsPercentRevenue,workingCapitalAsPercentRevenue,wacc,terminalGrowth,estimatedValuePerShare,terminalValueShare,terminalReinvestmentRate
16701,0.1380248622,0.41867739,0.2265465763,-0.0221574749,0.0953489043,0.0277586841,660.57933801,0.7491301667,0.0743711013
16801,0.1417692609,0.4016517284,0.2326223121,-0.0232235948,0.0907627414,0.029963942,711.22426625,0.778719028,0.0802794311
16901,0.1168568989,0.4122665822,0.2315421031,-0.0227924713,0.0846871501,0.031939063,732.55180681,0.7940490286,0.0855711776
17001,0.1150358866,0.4202509431,0.2308902977,-0.018044853,0.0868904249,0.0335068627,719.38280506,0.7913616781,0.0897716286
17101,0.1321626752,0.4081080559,0.2282905561,-0.0211420739,0.0909533642,0.0323600484,703.31285044,0.7779093773,0.0866990823
17201,0.1305545304,0.3917328441,0.2238496387,-0.0223382991,0.0957144967,0.0258915721,575.35451686,0.7446180914,0.0693687324
17301,0.1423941771,0.4001234867,0.2299525332,-0.0210497407,0.0912722588,0.0311857367,714.20717431,0.7802587713,0.0835528649
17401,0.1298933955,0.424895354,0.2245593056,-0.0199728969,0.0965495366,0.0265424038,621.25532426,0.7382037397,0.0711124415
17501,0.1100738335,0.4016373785,0.2220958645,-0.0227171538,0.0928067811,0.0325641185,593.02984617,0.7597883158,0.0872458272
17601,0.1227589324,0.4153204069,0.22649044,-0.0226498219,0.0953573527,0.0293422884,609.45593577,0.7478846329,0.0786138958
17701,0.1363144208,0.4104501581,0.2257887973,-0.0215429085,0.0894255576,0.030343787,731.11482847,0.7764467981,0.0812971122
17801,0.1381117955,0.4120731413,0.227718827,-0.0225191932,0.0956825326,0.0327721186,678.54647363,0.7625156906,0.0878031011
17901,0.1285278195,0.4070525521,0.2247532879,-0.0199365101,0.0895790651,0.028462903,675.53399969,0.7697156826,0.0762578455
18001,0.1438767396,0.4005400023,0.2261696666,-0.0240824874,0.0870944183,0.0319280094,794.88229213,0.7913206374,0.0855415627
18101,0.1341176687,0.4112016096,0.2238331202,-0.0205955792,0.0872553961,0.0265293017,722.00300734,0.7723046969,0.0710773383
18201,0.1178503741,0.4044717673,0.2261632586,-0.0203173776,0.0911064675,0.0333326971,647.1865274,0.7750547145,0.089305004
18301,0.1183691617,0.4270255927,0.2241641822,-0.0239176792,0.0881292626,0.027697711,687.2612302,0.7617212026,0.0742077419
18401,0.1077917168,0.4047141842,0.2240512608,-0.0209000224,0.0882347025,0.029968997,621.61690917,0.7705030843,0.0802929742
18501,0.1353470438,0.4284216723,0.2259920662,-0.0186155233,0.0912953661,0.0275424782,712.17919562,0.7613806261,0.0737918422
18601,0.1236104293,0.4260359383,0.2248700971,-0.0204948565,0.0947324044,0.0280295794,628.40732756,0.7451733767,0.0750968844
