attempt,futureRevenueCagr,normalizedOperatingMargin,capexAsPercentRevenue,workingCapitalAsPercentRevenue,wacc,terminalGrowth,estimatedValuePerShare,terminalValueShare,terminalReinvestmentRate
18001,0.1755896852,0.5770998688,0.0235680502,0.0764323993,0.1083532208,0.0295727673,124.85957187,0.6805952878,0.0739319182
18101,0.1759524292,0.6160404891,0.0269818384,0.0762079772,0.1152202936,0.0334939344,125.16154516,0.6659303732,0.0837348361
18201,0.158715604,0.583442584,0.0239033015,0.0745651986,0.1119860487,0.0302459327,110.50354392,0.6625344784,0.0756148317
18301,0.1727202185,0.6168886087,0.0277419736,0.0770646568,0.1109538191,0.0273916611,124.94553642,0.6652888445,0.0684791528
18401,0.194237259,0.6054765421,0.0274850055,0.0755990052,0.1165796165,0.0279239927,128.22613726,0.6566176176,0.0698099819
18501,0.1569863267,0.612419859,0.0228723258,0.0783689107,0.1148386714,0.0312916338,111.51195518,0.6540874635,0.0782290845
18601,0.1725559179,0.6079564034,0.0234838047,0.0751181329,0.1111275979,0.0331594241,128.28895684,0.6758824788,0.0828985602
18701,0.1743087324,0.5950415841,0.0265455935,0.0772321826,0.1164914437,0.0292822153,114.41884376,0.653524729,0.0732055382
18801,0.1565228928,0.6044549034,0.0227113572,0.0740834485,0.1096441041,0.031014153,117.74515969,0.6690341822,0.0775353826
18901,0.1808963918,0.6115802077,0.0286225035,0.0782209145,0.1119577204,0.032927017,132.42971314,0.6792832292,0.0823175425
19001,0.1922306141,0.577408644,0.0245333646,0.0731480963,0.1147841236,0.0344506165,129.57084845,0.6757028212,0.0861265414
19101,0.1814609216,0.6031034879,0.0260913093,0.0757897836,0.109549231,0.0323257151,135.24793535,0.6843163102,0.0808142878
19201,0.183053761,0.6007494687,0.0313708525,0.0730091275,0.109388795,0.0320932327,135.67770096,0.6862299375,0.0802330817
19301,0.1897502076,0.6140469511,0.0222747371,0.0770674085,0.1136896349,0.0297322523,133.84166048,0.6656672385,0.0743306306
19401,0.1708767816,0.6155438355,0.0301516438,0.0757104389,0.1159289761,0.028702295,116.66243212,0.6521619687,0.0717557375
19501,0.1901958537,0.6095938257,0.0275118512,0.0742494474,0.1177075846,0.0286781052,125.37411134,0.6522661857,0.0716952631
19601,0.1596161739,0.5939619247,0.0258325104,0.0729017092,0.1156322678,0.0304070935,107.98588801,0.6506003268,0.0760177337
19701,0.1697761747,0.6120179902,0.0237262482,0.0754636812,0.1142354969,0.0282490258,118.03600236,0.653128145,0.0706225646
19801,0.1636651137,0.6148869244,0.0296046574,0.076337506,0.1124473353,0.025166072,114.63698288,0.6527301295,0.0629151801
19901,0.1838712356,0.5990639694,0.0237457908,0.0740647674,0.112863053,0.0316009505,129.62751656,0.6708048223,0.0790023763
20001,0.1743089247,0.6014170422,0.0229522118,0.074145893,0.1216827006,0.0295523298,109.29625803,0.6338646211,0.0738808246
20101,0.1773945013,0.5946876522,0.0265395773,0.0746967032,0.1210536744,0.0309535991,111.15088302,0.6426677073,0.0773839979
20201,0.1672959694,0.6000166624,0.022207347,0.0745169872,0.1112620151,0.0330128759,122.83089943,0.6727582212,0.0825321896
20301,0.1571949432,0.5928848132,0.0274650911,0.0750294066,0.1083593195,0.0313611127,117.71181129,0.6781256549,0.0784027817
20401,0.1559432731,0.6050972026,0.0236187405,0.0794223827,0.1149348209,0.0301804202,108.43164612,0.6522400674,0.0754510506
20501,0.1545336667,0.6019499777,0.0295371384,0.0776928583,0.1131441729,0.0319377629,110.50752474,0.6640185246,0.0798444074
20601,0.1608818882,0.6007919748,0.0264153831,0.0758659228,0.1187491517,0.0281909961,104.13597003,0.6374933966,0.0704774903
20701,0.1713071047,0.6032453914,0.0233614805,0.0768378239,0.1098816621,0.0294873152,125.08070803,0.671895323,0.0737182881
20801,0.1754613558,0.5967858756,0.0287431277,0.0759860832,0.1102099242,0.0296375598,125.61276801,0.6754068577,0.0740938994
